"Date","Région","Plage de puissance injection","Filière de production","Nombre points injection"
"2025-06-30","OCCITANIE","P3 : ]9 - 100] kW","F1 : Thermique non renouvelable",1
"2025-06-30","OCCITANIE","P5 : ]250 - 1000] kW","F6 : Autres",3
"2025-06-30","OCCITANIE","P7 : > 12000 kW","F3 : Hydraulique",0
"2025-06-30","OCCITANIE","P7 : > 12000 kW","F6 : Autres",1
"2025-09-30","OCCITANIE","P0 : Total toutes puissances","F3 : Hydraulique",646
"2025-09-30","OCCITANIE","P2 : ]3 - 9] kW","F3 : Hydraulique",2
"2025-09-30","OCCITANIE","P3 : ]9 - 100] kW","F5 : Solaire",14661
"2025-09-30","OCCITANIE","P5 : ]250 - 1000] kW","F0 : Total toutes filières",628
"2025-09-30","OCCITANIE","P7 : > 12000 kW","F5 : Solaire",9
"2025-06-30","OCCITANIE","P6 : ]1000 - 12000] kW","F0 : Total toutes filières",816
"2025-06-30","OCCITANIE","P3 : ]9 - 100] kW","F2 : Bioénergies",12
"2025-06-30","OCCITANIE","P5 : ]250 - 1000] kW","F2 : Bioénergies",14
"2025-09-30","OCCITANIE","P0 : Total toutes puissances","F1 : Thermique non renouvelable",49
"2025-09-30","OCCITANIE","P2 : ]3 - 9] kW","F0 : Total toutes filières",85841
"2025-09-30","OCCITANIE","P3 : ]9 - 100] kW","F4 : Eolien",6
"2025-09-30","OCCITANIE","P6 : ]1000 - 12000] kW","F4 : Eolien",132
"2025-09-30","OCCITANIE","P6 : ]1000 - 12000] kW","F5 : Solaire",487
"2025-09-30","OCCITANIE","P7 : > 12000 kW","F4 : Eolien",19
"2025-09-30","OCCITANIE","P7 : > 12000 kW","F6 : Autres",1
"2025-06-30","OCCITANIE","P6 : ]1000 - 12000] kW","F3 : Hydraulique",127
"2025-06-30","OCCITANIE","P7 : > 12000 kW","F4 : Eolien",17
"2025-06-30","OCCITANIE","P2 : ]3 - 9] kW","F0 : Total toutes filières",82178
"2025-06-30","OCCITANIE","P2 : ]3 - 9] kW","F1 : Thermique non renouvelable",0
"2025-06-30","OCCITANIE","P6 : ]1000 - 12000] kW","F4 : Eolien",131
"2025-06-30","OCCITANIE","P4 : ]100 - 250] kW","F0 : Total toutes filières",4690
"2025-06-30","OCCITANIE","P1 : ]0 - 3] kW","F0 : Total toutes filières",93881
"2025-06-30","OCCITANIE","P6 : ]1000 - 12000] kW","F5 : Solaire",476
"2025-09-30","OCCITANIE","P1 : ]0 - 3] kW","F6 : Autres",2
"2025-09-30","OCCITANIE","P3 : ]9 - 100] kW","F0 : Total toutes filières",14756
"2025-09-30","OCCITANIE","P4 : ]100 - 250] kW","F2 : Bioénergies",10
"2025-09-30","OCCITANIE","P4 : ]100 - 250] kW","F6 : Autres",1
"2025-09-30","OCCITANIE","P5 : ]250 - 1000] kW","F6 : Autres",3
"2025-06-30","OCCITANIE","P0 : Total toutes puissances","F4 : Eolien",175
"2025-06-30","OCCITANIE","P2 : ]3 - 9] kW","F2 : Bioénergies",0
"2025-06-30","OCCITANIE","P0 : Total toutes puissances","F3 : Hydraulique",648
"2025-06-30","OCCITANIE","P1 : ]0 - 3] kW","F1 : Thermique non renouvelable",0
"2025-06-30","OCCITANIE","P1 : ]0 - 3] kW","F6 : Autres",1
"2025-09-30","OCCITANIE","P0 : Total toutes puissances","F2 : Bioénergies",49
"2025-09-30","OCCITANIE","P1 : ]0 - 3] kW","F0 : Total toutes filières",95228
"2025-09-30","OCCITANIE","P1 : ]0 - 3] kW","F5 : Solaire",95217
"2025-06-30","OCCITANIE","P5 : ]250 - 1000] kW","F4 : Eolien",2
"2025-09-30","OCCITANIE","P3 : ]9 - 100] kW","F6 : Autres",3
"2025-09-30","OCCITANIE","P6 : ]1000 - 12000] kW","F2 : Bioénergies",14
"2025-09-30","OCCITANIE","P6 : ]1000 - 12000] kW","F3 : Hydraulique",127
"2025-06-30","OCCITANIE","P3 : ]9 - 100] kW","F3 : Hydraulique",75
"2025-06-30","OCCITANIE","P5 : ]250 - 1000] kW","F1 : Thermique non renouvelable",4
"2025-06-30","OCCITANIE","P1 : ]0 - 3] kW","F2 : Bioénergies",0
"2025-06-30","OCCITANIE","P0 : Total toutes puissances","F5 : Solaire",195471
"2025-09-30","OCCITANIE","P0 : Total toutes puissances","F4 : Eolien",177
"2025-09-30","OCCITANIE","P0 : Total toutes puissances","F5 : Solaire",201452
"2025-06-30","OCCITANIE","P4 : ]100 - 250] kW","F6 : Autres",1
"2025-09-30","OCCITANIE","P1 : ]0 - 3] kW","F3 : Hydraulique",1
"2025-09-30","OCCITANIE","P2 : ]3 - 9] kW","F5 : Solaire",85816
"2025-09-30","OCCITANIE","P5 : ]250 - 1000] kW","F1 : Thermique non renouvelable",4
"2025-09-30","OCCITANIE","P6 : ]1000 - 12000] kW","F0 : Total toutes filières",829
"2025-09-30","OCCITANIE","P7 : > 12000 kW","F2 : Bioénergies",1
